0,has to resit exams over summer...  wishes he worked harder at first year of uni...
1,I LOVE @Health4UandPets u guys r the best!! 
1,im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!
1,@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. 
1,Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup
1,@LovesBrooklyn2 he has that effect on everyone 
1,@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!
1,@r_keith_hill Thans for your response. Ihad already find this answer 
1,@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! 
1,@tommcfly ah, congrats mr fletcher for finally joining twitter 
1,@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors 
1,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! 
1,@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! 
1,@nileyjileyluver Haha, don't worry! You'll get the hang of it! 
1,@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting 
1,@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?
1,Just added tweetie to my new iPhone 
1,@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! )
1,@nicolerichie: your picture is very sweet 
1,Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw 
1,Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! 
1,Didn't place in the Peeps contest but thanks for voting anyways. 
1,Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0
1,@LittleLumen walking over to put the deposit down tomorrow 
1,is now followinq @DAChesterFrench , you shud do tha same 
1,@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? 
1,Aw i'm holding my new puppy. Well He's not mine but He's a cutie. 
1,@iJohn kitteh is sleepin on my crotch which proves she likes me more 
1,@DramaBeats agreed 
1,reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ
1,@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star 
1,happy to spend time with the family. 
1,finally going to bed!  so tired. Was gonna watch The Hills but didnt =/
1,so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! 
1,@deon upload di indowebster dong banggggg 
1,@wisdomous you're welcome. glad you enjoyed it. 
1,@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?
1,@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up 
1,YAY! found a new cuddle buddy 
1,I think I met my first &quot;snob&quot; on twitter tonight. Too bad. Life goes on! 
1,Across the Universe. Sleep. Rehearsal tomorrow. 
1,@annabellee dry sweet potato, huh? 
1,@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!
1,having a long conversation with mom on phone 
1,@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? 
1,Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  
1,Going to go and read new moon for the 3rd time  I cant get enough of twilight series 
1,today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!
1,I am bored 
